idx,smiles,homolumogap
31946,CC(N)CC(C)(C)O,15.98874
39415,CC(C)C(C)C(C)N,16.14248
40867,COC(C)CN(C)C,15.35961
3275,CC(CO)C(N)CN,15.8886
37019,CCC,19.12727
18926,CC(N)C(C)CO,16.19881
38344,CCC(O)C(N)CN,15.40832
38477,CCOC(C)CCN,16.51636
19665,CCCCC(C)N,16.22656
13096,CC(O)C(C)CO,17.02086
8308,CCC(C)C(O)CN,16.68344
26469,NCC(O)C(N)CO,16.27962
37623,CNC(CN)CCN,15.83826
27660,CCCCC(C)OC,17.20181
9111,CCCC(C)OC,17.21025
6150,CCOCC(C)(C)C,17.15691
10489,COC(C)C(C)(C)N,15.98221
16048,CCC(O)COC,17.41542
45724,CCC(CN)OC,16.24425
36867,CC(CN)C(O)CO,16.072
39276,CNCCCO,15.75227
9985,CC(O)C(C)CN,16.30248
28790,COCC(C)(C)CO,16.94657
7348,CCC(C)(O)C(C)N,15.74982
28832,CCOC(C)(C)C,16.96371
43857,CCC(O)CO,17.12671
33746,NCCCC(O)CO,16.33704
16125,COC(C)(CN)OC,16.48833
6133,CCOC,17.73841
46183,CCCCO,17.68562
23645,CCC(C)(N)C(C)C,15.94384
1998,CC(C)NC(C)(C)C,15.16124
45128,CNCCOCCO,16.1901
46468,CC(CN)C(C)CO,16.33813
23357,CCC(COC)OC,17.15365
847,CNCC(CN)NC,15.55254
13449,CCOCOC(C)C,17.64998
33114,CCCNC(C)C,15.92615
11031,CCCC(C)CCO,17.57868
16540,COCC(C)C(C)N,16.34493
34135,CC(C)(N)C(O)CO,16.40534
12219,COCC(CN)CN,15.86357
39977,CC(C)C(N)CO,16.12724
21088,CCC(CCO)OC,16.84589
20760,CC(O)(CN)CCN,15.90112
1745,CCC(CNC)NC,15.16179
11339,CCC(O)CCO,17.00371
18298,CCCNC,16.09214
2524,CNCCOCCN,16.1901
33983,CCC(C)C(C)(C)C,17.38712
4630,CC(C)(O)C(N)CO,15.91064
34914,CC(N)COCCN,16.21486
9890,CCNCC(C)N,15.68969
5639,COC(C)C(N)CN,15.90384
7665,CCC(O)CC(C)O,17.18031
4186,CN(C)CCCO,15.61132
18377,CC(C)NCCCO,15.88669
41462,COC(C)OC,17.58304
1870,NCCCCN,16.59038
37429,CC(O)C(C)(C)N,16.00778
22372,CC(CO)NCCO,16.02302
1967,CC(C)(C)C(C)(C)N,15.63581
24386,CC(C)OC(C)CO,17.12426
28128,CN(C)C(C)(C)C,15.05703
40196,CC(O)C(C)(O)CN,16.23119
45381,CCOCOC,18.19284
41393,COC(C)CC(C)N,16.16126
29516,CCCCC(C)(C)N,15.9637
22174,CCC(N)C(C)CN,16.13105
28548,CCCCOC(C)C,17.24344
21159,CNCC(C)CCN,15.98928
5580,CCC(C)(N)C(C)N,15.64125
4028,CCC(C)(CN)OC,16.22819
21510,CC(C)C(O)CCN,16.23527
11937,CC(C)(O)CO,17.04507
39245,CCC(C)(O)CC,16.96997
23306,COCC(N)CO,16.10711
14669,CCNCCCNC,15.89567
20843,CCC(CC)C(C)C,17.47474
3981,CCC(NC)C(C)O,15.55009
16497,CC(C)(O)C(C)(C)O,16.68915
27635,NCC(CO)CCO,16.07418
22368,CCCC(C)(N)CC,15.93105
3059,CC(N)C(C)CN,16.20234
10702,CCC(CN)C(C)O,16.15935
40322,CN(CCN)CCO,15.82928
13792,CNCCO,16.07391
40454,CCC(N)CCNC,15.74411
39610,CNCCC(C)NC,15.83064
29875,CC(O)C(C)O,17.04725
5567,CC(C)OC(C)(C)C,16.57078
38708,CCCOCCN,16.51745
12496,CCC(C)COC,17.49052
10995,CC(O)CC(N)CO,15.98683
6319,CCCCOCCO,17.69841
24927,CCC(C)(N)C(C)O,15.82928
26463,CNCCC(C)CN,15.87064
44053,CC(C)COC(C)C,17.15691
15432,COCOCCCN,16.62602
44045,CCCCC(C)CN,16.46194
3703,CCCC(C)(O)CN,16.10003
25152,COC(C)CCO,17.19854
26430,CC(N)C(N)CCO,15.79799
35401,CC(C)C(C)CCN,16.21051
38385,CCCC(CC)OC,17.05324
1586,CC(C)(N)C(C)(C)N,15.50655
16793,CCOC(CC)CN,16.37051
40804,CC(C)(O)CCO,16.83065
31436,CC(N)CCN(C)C,15.28941
8766,CNCC(N)C(C)O,15.64914
34205,CCN(C)CC(C)O,15.53322
29832,CCC(C)C(C)CN,16.11146
46245,CC(N)C(C)(C)N,15.65268
12260,CNCCNCCN,15.65703
12481,CC(C)C(CO)CO,16.52398
1791,CCOCC(C)O,17.69079
46430,CC(C)C(N)CCN,15.76152
11174,CCN(C)CCCN,15.49295
19590,CC(C)CC(N)CN,15.61023
8733,CC(N)CCCCN,16.18003
29476,CN(CCN)CCN,15.46111
7719,CNCC(C)C(C)C,15.87908
5026,CC(CN)C(N)CN,15.94003
26198,COCCCCO,17.60127
30739,CC(O)C(C)(N)CO,16.04098
24190,CCC(C)(C)C(C)C,17.31419
36688,CCC(O)C(C)(C)C,16.8799
7667,COCOCC(C)C,17.77297
36021,CCCCCCO,17.51719
17064,CCOCCC(C)C,17.27038
16569,CCC(N)COC,16.0886
27415,COCC(C)OC,17.54712
32169,CCN(C)C(C)C,15.40778
7344,CCOC(CN)CN,15.91853
35935,CCC(O)CC,17.28834
28368,CCNCC(N)CC,15.89241
31810,CNCC(C)(O)CN,16.0184
26261,CCCC(C)(N)CO,15.80506
36254,CCC(C)(C)C(C)N,16.01323
11249,CNCC(O)CCO,15.62928
8175,CCCC(C)NCC,15.75771
14569,CC(O)CCO,17.12997
24766,CC(C)C(CN)CN,16.17432
5851,CNCC(O)CN,16.27282
15549,CCC(C)C(C)OC,17.07854
35928,CCCNC(C)CC,15.9052
20949,CCC(CN)C(C)C,15.97704
46658,CCCC(C)(C)O,17.13732
24893,CNCCCOC,16.09268
3587,CCC(O)CCCN,16.49486
36647,CCNCCC(C)C,15.88942
1104,CC(C)NCCO,15.61839
9164,NCCC(CN)CO,15.88806
33407,CC(C)N(C)CCO,14.88587
11835,CCN(CC)CCN,15.18111
33272,COCCNC(C)C,15.59472
38853,CCOCCOC,17.78794
22180,CCNCC(O)CC,16.21051
32365,CCOCC(N)CO,16.61867
15999,CNC(CO)CO,15.20941
3324,CC(CN)CN,16.14194
23499,CCCC(C)(C)OC,16.92072
7009,CCC(O)(CC)CC,16.85623
9027,CC(CO)CN(C)C,15.4203
22951,CCC(CO)C(C)N,16.32942
44535,CC(O)CC(N)CN,15.62302
16506,COCC(C)(C)C,17.22004
23581,COC(C)C(C)CO,17.17161
18943,CCC(O)CNC,16.34194
14715,CCCC(N)CC,16.13649
16191,COC(C)CCN,16.5082
33342,CCCC(CC)CO,17.09977
27673,CCOCCCN,16.6184
19719,CCC(CN)N(C)C,15.32914
424,OCCCCCCO,17.55229
26391,CCC(C)(C)CCO,17.00018
14503,NCCC(N)CO,16.01323
36992,NCC(CN)CCO,15.95989
2000,CCC(O)C(C)OC,16.88099
25719,CC(C)O,17.63338
17109,CNCC(CO)OC,16.14248
37094,CCNCCCOC,16.03255
11782,CC(CN)C(C)(C)C,16.18765
32509,CC(CN)CCCO,16.43963
25175,COCC(O)CN,16.80289
27575,CCC(O)C(C)CO,16.90031
10292,CC(C)(CN)CO,16.13813
39449,CCNC(CN)CO,15.91772
24837,CCOCCCNC,16.14194
12356,CC(O)C(C)CCN,16.2486
28218,NCCCO,16.43146
43426,CCCOCCNC,15.71064
12978,CCCN(C)CC,15.57458
22167,CNCCCCO,16.0437
43092,CCCNCCNC,16.02003
26249,CCOCOCC,18.06713
39381,CCCC(C)NC,15.91037
31146,CCC(C)C(C)NC,15.72833
36495,CNCC(C)C,15.88806
35861,CCCCC(O)CO,17.06276
35097,CCCCN(C)CC,15.55962
24203,CC(CO)C(N)CO,16.22629
35020,CCNCCNCC,15.72424
13482,CC(C)CCCO,17.49977
35247,CCC(C)(O)C(C)C,17.0048
20166,CNCCCCCO,15.91935
20588,CCOC(C)C(C)C,17.0497
3211,CNCCCCNC,16.02411
29923,CNC(C)(C)C,15.43363
35282,CCC(C)(CN)CN,15.66601
13636,CC(N)CC(O)CO,16.31364
4678,CCCC(C)CC,17.82386
34992,CCC(C)(N)CNC,15.50247
32982,CN(C)C(C)(C)CN,14.97675
20897,CC(N)CNCCN,15.92261
26882,CNCC(CN)CN,15.50601
43168,CCOCC(C)CN,16.42956
23299,CC(C)(O)CCN,16.07391
17779,CCN(C)CCCO,15.48587
34237,CCCCCNCC,15.98955
32488,CCCCC(C)(C)O,17.08045
2710,CNCC(OC)OC,16.14003
36727,CC(C)CC(C)(C)N,15.8135
4961,CN(C)CCCN,15.47009
21972,CCNCCOC,15.99799
25811,CNCCOC(C)C,16.15364
35786,CC(C)(CO)CCN,16.20153
2164,CNC(C)C(C)CN,15.12914
5101,CNCC(C)COC,15.9003
21306,COCCC(C)C,17.31365
23716,CC(C)C(C)(N)CN,15.71336
44231,CC(C)(C)C(O)CO,17.038
4981,CC(C)C,18.5572
16510,CC(C)CNC(C)C,15.7686
32869,CCN(C)CCO,15.44615
8469,CCC(C)(C)CO,16.91718
38328,CCC(C)(CO)CO,16.43228
25396,CC(C)(O)CCCO,16.98058
38795,CCCCNCCN,15.86601
46585,CNCC(O)CNC,15.65241
40360,CCC(CCO)NC,15.49567
10567,CC(O)CC(O)CN,16.65759
13896,COC(C)(CN)CO,16.08017
1551,CCC(C)(O)CCO,16.69677
21592,CCC(CC)OC,17.03936
28333,COC(C)CCCN,16.36235
35299,CC(C)NC(C)CN,15.58247
4875,CCC(N)(CC)CC,15.8203
41064,CC(N)C(C)CCN,16.1316
2952,CNCC(C)N,15.68125
23990,CCCN(C)C(C)C,15.32832
6733,CCNC(CN)CN,15.70084
25594,CCNCC(N)CO,15.87744
6493,CCC(N)(CN)CO,15.85948
40817,CCOCCCCN,16.64453
9263,CCC(N)C(C)NC,15.58111
28845,CCCC(C)(C)NC,15.46683
41955,CCCC(N)CNC,15.87037
30037,CC(C)C(O)CO,17.05079
14114,NC(CO)CCCO,16.07908
17033,CC(C)(C)C,18.03692
23182,CCCOC(C)CC,17.23011
41906,CCCCN(C)C,15.57921
24586,CCC(CO)C(C)C,16.79011
39256,CC(C)CN,16.46983
34587,CCC(N)C(O)CC,15.98411
1364,CCCC(C)OCC,17.0682
1087,CC(CN)NCCN,15.7803
9101,CCC(N)C(N)CC,15.54302
21731,CCN(C)CC(C)N,15.41757
4885,CCCC,18.74087
40603,CCC(C)(C)C(C)O,16.89106
23023,CCNC(C)CC,15.91527
243,CCNC(CO)CO,16.13486
27806,CCCCCN(C)C,15.56315
23486,CCC(O)C(O)CC,16.83283
42714,NCCCCCO,16.54003
14198,CNC(C)CC(C)C,15.68152
32164,CC(C)CC(C)(C)O,16.70276
41410,CC(C)(O)CCCN,15.93894
16738,COCC(C)(C)CN,16.18765
34061,CNCCC(C)C,15.91227
45751,COCC(C)(N)CN,16.06792
3674,CNCC(C)(C)C,15.65567
37306,COC(C)CC(C)C,17.05487
18919,CNC(C)(C)COC,15.3441
17495,COC(C)OCCN,16.69078
31266,COCCC(C)O,17.18412
11049,CC(N)C(C)(C)CN,16.03282
13683,CC(C)C(C)(N)CO,15.80914
11108,CNCC(O)C(C)C,15.59009
8555,COC(C)(C)C(C)C,16.79174
12172,CCC(C)(CC)OC,16.81868
20378,CCCC(C)CNC,16.01704
26388,COCCOC,17.89161
13844,CCCCCCCN,16.53568
2402,CNC(C)CC(C)N,15.62111
2426,CCC(CO)NC,15.30111
12531,CCCCOCC,17.58032
7824,CC(O)CC(C)CN,16.32833
429,CCCC(C)CCN,16.56969
18915,CCOCCOCC,17.61406
29968,CNC(C)(C)C(C)O,15.63662
11355,CCN(C)C(C)CN,15.25023
38262,CC(N)C(O)CCO,16.45595
29124,CCC(N)C(C)OC,16.15445
41402,CCCC(C)N(C)C,15.43036
43864,CCOC(C)C(C)O,17.321
39932,CN(C)C(CN)CN,15.17648
35234,CCOC(C)(C)CO,17.24698
12369,CNC(C)(C)CO,15.58002
26625,CC(CN)(CN)CO,15.83799
16909,CC(CN)CN(C)C,15.42764
43250,CCC(C)(O)COC,16.99909
22252,CCCC(CC)CC,17.45243
34326,CCCCC(O)CC,17.13188
10482,NCCO,16.7697
39271,CCNC(C)(C)CO,15.73785
8923,CCC(O)C(C)CN,16.22547
39390,CNC(C)C(O)CO,15.82003
111,CCCC(CN)NC,15.27716
303,CCC(C)CCCO,17.5259
11947,CN(C)CC(O)CO,15.87418
39587,CC(C)NC(C)C,15.57023
19690,CNC(C)C(N)CN,15.40234
17969,CC(C)(CO)CCO,17.00235
7968,CCCCC(N)CN,15.83799
19461,CC(C)(N)CO,16.29731
1018,CCC(C)(C)CN,16.08642
45177,CN(C)C(CN)CO,15.37268
30838,CCOCC(O)CC,17.55039
18105,CC(C)(N)C(N)CO,15.672
38676,CCCC(C)COC,17.50494
17207,CCOCC(C)NC,15.65594
23144,CCCC(C)C(C)N,16.32643
28024,CC(C)C(O)CN,16.02302
27918,CCC(C)(C)O,17.14385
40548,CC(C)(CN)CN,15.77785
23756,CC(C)C(C)C(C)C,17.42168
9679,CNC(CO)C(C)O,15.72152
11069,CCCOCOCC,17.91202
928,CNC(C)C(N)CO,15.64288
12802,CCC(C)(CO)OC,16.94521
35889,CC(O)CCN,16.26493
1706,CC(C)CCN(C)C,15.25295
12160,COC(CN)OC,16.60453
3925,CCCC(C)(C)CN,16.11636
1902,CNCCCCOC,15.58656
32403,CN(C)CC(C)(C)C,15.02737
7923,NCC(CN)CO,16.45677
4425,CC(C)(C)NCCO,15.54819
32083,CCNCC(C)CC,15.83091
15107,COC(C)(C)CCN,16.21894
22858,CCC(CC)CC,17.61161
2625,CCCNCCOC,16.18357
43066,CCNC(C)C,15.92289
28755,CCCC(C)(N)CN,15.73268
24184,CNCC(C)(N)CO,15.76424
15762,CCC(N)(CO)CO,16.17976
41803,CC(C)(N)CCCN,16.04017
30388,CC(O)CCCCO,17.08399
42374,CCCCCC(C)N,16.2203
21988,CC(N)CC(N)CO,15.68724
16004,CCOCC(C)(C)O,17.4576
39184,CCCOC(C)OC,17.4195
39567,COC(C)CN,16.60235
35876,COC(CO)C(C)N,16.21459
12130,CCCC(N)CCN,16.30547
27772,CCCOCCC,17.47447
32194,CNCCNC(C)C,15.89186
34696,CC(C)C(C)N(C)C,15.33485
30858,CCC(C)(O)CN,15.85486
37448,CC(N)(CN)CCO,15.80996
21429,CCC(CC)NC,15.80561
2001,CCC(N)C(N)CN,15.34601
27594,CC(CO)N(C)C,15.04424
3530,CCCC(O)COC,17.38385
33633,CC(C)(C)C(O)CN,16.6848
14653,CCCO,17.79284
13427,CCN(C)CCNC,15.25023
36208,COCCCCN,16.59092
10785,CNCC(CO)NC,15.93105
17183,CC(O)CN(C)C,15.82574
13696,CCCCCCCC,17.80699
21492,CC(C)C(C)(O)CO,16.76643
27664,CCC(O)CN,16.73133
18060,CCC(C)C(C)CO,17.27991
39268,CC(N)CCC(C)O,16.24534
6715,CC(N)C(CN)CO,15.7256
24813,CCCCOC,17.65324
42964,CCC(CNC)OC,15.40125
4064,CCNCC(C)CN,15.85785
14169,NCC(O)(CN)CO,15.90411
9023,COC(C)CO,17.51555
27092,CC(C)C(N)C(C)N,15.50683
24279,CCC(C)(O)CNC,15.35009
23281,CCC(N)C(C)CO,16.11037
35895,CCOCCNC,16.20779
19029,CCC(C)C(O)CO,17.01868
9915,CC(C)CCCCO,17.42168
39516,CNC(C)(C)C(C)N,15.38166
24979,CCCCCCN,16.54874
12897,CC(CO)CO,17.1531
29199,COCOC(C)(C)C,16.89487
21571,CCC(C)OC,17.17759
17240,CCOC(CC)CC,17.0029
6723,CC(C)CCN,16.48262
4953,CC(C)CCC(C)N,16.33432
45291,CCC(CN)CCN,15.99363
41793,CC(C)(N)CCCO,16.04343
39846,CCC(C)(CO)NC,15.23662
3024,CNCC(C)N(C)C,15.56778
18662,COCC(N)CCN,16.48752
30635,CCNCC(C)O,15.61295
34643,CC(C)C(O)C(C)O,16.89242
1076,CC(CN)OCCN,16.54466
16932,COCCNCCN,15.90057
5910,CC(CCO)N(C)C,15.30927
9298,COCC(C)(O)CN,16.20833
11807,COCCC(C)CO,17.35229
13210,CC(C)(N)C(N)CN,15.30193
12594,CCCCCCNC,15.99282
10988,CCC(CC)CO,17.15038
39221,CN(C)C,15.53866
33862,CCC(CO)CCO,16.71283
17673,CCCCCO,17.59664
40175,CC(CN)OCCO,16.59092
41672,COCCC(N)CO,16.38874
23451,CCCC(CN)OC,16.40507
26190,NC(CO)CCO,16.23717
31668,CCOCC(C)N,16.4048
31063,CNCC(O)COC,15.632
26316,CCCCCNC,16.02057
2387,CC(N)CO,16.54711
24595,CCC(C)C(N)CO,16.18901
44925,NCCC(CN)CN,15.59934
22588,COC(CO)CCN,16.34711
41784,CCC(CN)CNC,15.43798
45680,CCC(C)CC(C)N,16.24751
11464,CCC(CC)COC,17.20371
9589,CCC(C)C(C)(C)O,16.90766
37096,CC(O)C(N)CCO,15.71254
36207,CCNCC(C)(C)C,15.65105
11988,CCC(CN)NC,15.28097
45610,CNC,16.09813
8397,CCC(C)C(N)CN,15.80424
15042,CCC(O)C(C)C,17.22358
8894,CCCOCCOC,17.62304
33849,CC(CO)OCCN,16.62031
46479,CNC(CO)C(C)N,15.47907
31958,CC(N)C(C)(O)CO,16.17486
11761,COC(C)CC(C)O,16.93432
42879,CCOCCC(C)N,16.26466
19310,CCC(CO)CNC,15.43118
29877,CCC(N)C(C)(C)O,16.19554
36394,CCC(C)NCCN,15.66438
44164,CC(N)CC(C)O,16.04452
9380,CCN,16.58058
41648,CN(C)CC(N)CO,15.49213
23290,COCCCN(C)C,15.60696
2525,CCOCCCCO,17.53705
3562,CCNC(C)CNC,15.71037
21361,CNCC(C)C(C)N,15.80452
1152,CC(N)C(O)CCN,15.91799
45379,CC(C)CC(C)O,17.25052
22854,CNC(CO)CCO,15.86112
17576,CCC(COC)NC,15.69404
17344,CNCCCCCN,15.96425
9793,NCCOCCCO,16.67337
7512,CNCC(O)C(C)O,15.50002
